Name ,Address,Category 
All Things Through Christ - Food Distribution Center,"6600 S Hermitage Ave, Chicago, IL 60636",Shelter
Animal Welfare League,"6224 S Wabash Ave, Chicago, IL 60637",Shelter
Chicago City Life Center,"137 W Garfield Blvd, Chicago, IL 60609",Shelter
Children's Home & Aid,"1701 W 63rd St, Chicago, IL 60636",Shelter
Christian Community Health Center,"8025 S Honore St, Chicago, IL 60620",Shelter
Clara's House Shelter,"1650 W 63rd St, Chicago, IL 60636",Shelter
Englewood Cares,"6005 S Ashland Ave, Chicago, IL 60636",Shelter
Family Focus Englewood,"6727 S Western Ave, Chicago, IL 60636",Shelter
Family Rescue,"8811 S Stony Is Ave, Chicago, IL 60617",Shelter
FCHN Feed Clothe & Help,"1234 W 59th St, Chicago, IL 60636",Shelter
Helping Arms Comprehensive Center,"5847 S Morgan St, Chicago, IL 60621",Shelter
Human Resource Dev Institute,"6701 S Elizabeth St, Chicago, IL 60636",Shelter
I Grow Chicago,"6402 S Honore St, Chicago, IL 60636",Shelter
Jason Sager & Associates Food Distribution Center,"945 W 69th St, Chicago, IL 60621",Shelter
Kingdom Builders Christian Center - Food Distribution Center,"1648 W 63rd St, Chicago, IL 60636",Shelter
La Casa Norte,"1736 W 47th St, Chicago, IL 60609",Shelter
Maria Shelter,"7320 S Yale Ave, Chicago, IL 60621",Shelter
Moore Place,"5653 S May St, Chicago, IL 60621",Shelter
Olive Branch,"6656 S Talman Ave, Chicago, IL 60629",Shelter
Olive Branch Mission,"6310 S Claremont Ave, Chicago, IL",Shelter
Outreach Chicago,"6002 S Halsted St, Chicago, IL 60621",Shelter
PAWS Chicago Englewood Outreach Center,"910 W 65th St, Chicago, IL 60621",Shelter
Primo Center for Women and Children,"6212 S Sangamon St, Chicago, IL 60621",Shelter
Save Our Community Coalition,"7059 S Normal Blvd, Chicago, IL 60621",Shelter
Southwest Chicago PADS,"3121 W 71st St, Chicago, IL",Shelter
St. Leo's Residence for Veterans,"7750 S Emerald Ave, Chicago, IL 60620",Shelter
Su Casa Cathlic Worker,"5045 S Laflin St, Chicago, IL 60609",Shelter
Ujima Village Overnight Shelter,"7320 S Yale Ave, Chicago, IL 60621",Shelter
Visitation Parish Food Pantry - Food Distribution Center,"843 W Garfield Blvd, Chicago, IL 60621",Shelter
We Do Care Food Distribution Center,"1538 W 69th St, Chicago, IL 60636",Shelter
West Englewood United Org,"1650 W 62nd St, Chicago, IL 60636",Shelter
You Can Make It,"2857 W 63rd St, Chicago, IL 60629",Shelter
YWCA Englewood Satellite,"641 W. 63rd st., Chicago, IL 60621",Shelter
BMO,"4723 S Kedzie Ave, Chicago, IL 60632",Bank
5/3 Bank,"1542 W 47th St, Chicago, IL 60609",Bank
Bank of America,"4200 S Ashland Ave, Chicago, IL 60609",Bank
Brighton Park Community Bank,"4334 S Kedzie Ave, Chicago, IL 60632",Bank
Byline Bank,"1800 S Halsted St, Chicago, IL 60608",Bank
Chase,"4809 S Ashland Ave, Chicago, IL 60609",Bank
Citibank,"3430 S Halsted St, Chicago, IL 60608",Bank
First American Bank,"4501 S Pulaski Rd, Chicago, IL 60632",Bank
GN Bank,"4619 S King Dr, Chicago, IL 60653",Bank
Huntington,"1715 W 47th St, Chicago, IL 60609",Bank
Hyde Park Bank,"815 W 63rd St, Chicago, IL 60621",Bank
Lakeside Bank,"2200 S Archer Ave, Chicago, IL 60616",Bank
Marquette Bank,"615 W 31st St, Chicago, IL 60616",Bank
PNC,"6232 S Halsted St, Chicago, IL 60621",Bank
Providence Bank & Trust,"101 E 35th St, Chicago, IL 60616",Bank
Pulaski Savings Bank,"3156 S Morgan St, Chicago, IL 60608",Bank
Republic Bank of Chicago,"4028 W 79th St, Chicago, IL 60652",Bank
Royal Savings Bank,"1823 W 47th St, Chicago, IL 60609",Bank
Seaway,"3501 S King Dr, Chicago, IL 60653",Bank
US Bank Branch,"815 W 63rd St, Chicago, IL 60621",Bank
Wintrust,"W 35th St, Chicago, IL 60609",Bank
A. Phillip Randolph School,"7316 S Hoyne Ave, Chicago, IL 60636",School
Academy of St. Benedict,"6547 S Stewart Ave, Chicago, IL 60621",School
Barbara A. Sizemore Academy,"6547 S Stewart Ave, Chicago, IL 60621",School
Benedict the African School,,School
Benjamin E Mays Elementary Academy,"6656 S Normal Blvd, Chicago, IL 60621",School
Betty Shabazz International Charter School,"6547 S Stewart Ave, Chicago, IL 60621",School
Bronzeville Scholastic Institute,"6818 S Morgan St, Chicago, IL 60621",School
Carrie Jacobs Bond Elementary School,"7050 S May St, Chicago, IL 60621",School
Charles Hayes APC School,"6533 S Stewart Ave, Chicago, IL 60621",School
Charles W Earle School,"2040 W 62nd St, Chicago, IL 60636",School
Chicago Urban Day School,"1248 W 69th St, Chicago, IL 60636",School
Childrens Hour Pre-School Center,,School
CS Academy College,"6014 S Racine Ave, Chicago, IL 60636",School
Daniel S Wentworth Elementary School,"1340 W 71st St, Chicago, IL 60636",School
Deneen Elementary School,"7257 S State St, Chicago, IL 60619",School
Dr. Martin Luther King Jr. Academy of Social Justice,"644 W 71st St, Chicago, IL 60621",School
Englewood High School,"6201 S Stewart Ave, Chicago, IL 60621",School
Englewood STEM High School,"6835 S Normal Blvd, Chicago, IL 60621",School
Excel Academy of Englewood,"7141 S Morgan St, Chicago, IL 60621",School
Gershwin Elementary School,,School
Hope Academy School,"2189 W Bowler Street Chicago, IL 60612",School
Hope Technology & Education Center,"1354 W 61st St, Chicago, IL 60636",School
IHSA Chicago,,School
Jesse Sherwood School,"245 W 57th St, Chicago, IL 60621",School
John Foster Dulles School,"6311 S Calumet Ave, Chicago, IL 60637",School
Johnson College Prep,"6350 S Stewart Ave, Chicago, IL 60621",School
Kemet Leadership Academy,,School
Kershwa Elementary School,"6450 S Lowe Ave, Chicago, IL 60621",School
KIPP Bloom College Prep,"5515 S Lowe Ave, Chicago, IL 60621",School
Langford Community Academy,"6010 S Throop St, Chicago, IL 60636",School
Lez Enfants Academy,"7209 S Halsted St, Chicago, IL 60621",School
Lindblom Math and Science Academy,"6130 S Wolcott Ave, Chicago, IL 60636",School
Miles Davis Magnet Academy,"6740 S Paulina St, Chicago, IL 60636",School
Nicholson STEM Academy,"6006 S Peoria St, Chicago, IL 60621",School
Nicholus Copernicus School,"6010 S Throop St, Chicago, IL 60636",School
Oliver Wendell Holmes Elementary School,"955 W Garfield Blvd, Chicago, IL 60621",School
Our Lady of Solace School,,School
Parker Child Parent Center,"328 W 69th St, Chicago, IL 60621",School
Perkins Bass Elementary School,"1140 W 66th St, Chicago, IL 60621",School
Pre School,"5534 S Hoyne Ave, Chicago, IL 60636",School
Prologue Inc,"6011 S Justine St, Chicago, IL 60636",School
Providence Englewood Charter,"6515 S Ashland Ave, Chicago, IL 60636",School
Saint Brendan School,,School
Saint Edmunds Episcopal Parochial School,,School
Saint Martin School,,School
Saint Mary of Mount Carmel School,,School
Saint Raphael School,,School
Schools Public Hilliard,"6533 S Stewart Ave, Chicago, IL 60621",School
Simeon Career Academy High School,"8147 S Vincennes Ave, Chicago, IL 60620",School
Stagg Elementary School,"7424 S Morgan St, Chicago, IL 60621",School
Taylor Made Dreams,"6818 S Morgan St, Chicago, IL 60621",School
The Montessori School of Englewood,"6936 S Hermitage Ave, Chicago, IL 60636",School
Theodore School,,School
Thurgood Marshall,"6651 S Racine Ave, Chicago, IL 60636",School
Tilden High School,"4747 S Union Ave, Chicago, IL 60609",School
Urban Prep Charter Academy for Young Men - Englewood,"6201 S Stewart Ave, Chicago, IL 60621",School
Washington School,,School
West Englewood Christian School,"7326 S Racine Ave, Chicago, IL 60636",School
William Augustus Hinton School,"644 W 71st St, Chicago, IL 60621",School
William Rainey Harper High School,"6520 S Wood St, Chicago, IL 60636",School
St. John Cantius Church,"825 N Carpenter St, Chicago, IL 60642",Church
First Baptist Institutional Church,"4220 W 18th St, Chicago, IL",Church
Apostolic Faith Church ,"3823 S. Indiana Ave, Chicago, IL",Church
Grace Chicago Church,"3252 N Broadway, Chicago, IL 60657",Church
